Taux de chômage selon le sexe et l'âge,,en %,Sexe et âge,Femmes ,15-24 ans,25-49 ans,50 ans ou plus,Hommes,15-24 ans,25-49 ans,50 ans ou plus,Ensemble ,15-24 ans,25-49 ans,50 ans ou plus,Taux de chômage de longue durée,nd : donnée non disponible.,"Note : chômage au sens du Bureau International du Travail (BIT) ; données corrigées des variations saisonnières, en moyenne trimestrielle.","Lecture : au 3e trimestre 2024, le taux de chômage au sens du BIT est de 7,4 %.","Champ : France hors Mayotte, personnes de 15 ans ou plus vivant en logement ordinaire.","Source : Insee, enquêtes Emploi annuelles jusqu'en 2002 ; enquête Emploi en continu à partir de 2003."
Unnamed: 42,,,1985-T2,11.1,27.5,7.6,5.7,7.6,18,5.6,4.8,9.1,22.3,6.5,5.2,nd,,,,,
Unnamed: 43,,,1985-T3,11.1,27.2,7.7,5.9,7.7,17.7,5.8,5.1,9.1,22,6.6,5.4,nd,,,,,
Unnamed: 44,,,1985-T4,10.9,26.6,7.7,5.8,7.7,17.3,5.9,5.3,9.1,21.5,6.7,5.5,nd,,,,,
Unnamed: 45,,,1986-T1,10.8,26.1,7.7,5.6,7.7,16.9,5.9,5.3,9,21.1,6.7,5.4,nd,,,,,
Unnamed: 46,,,1986-T2,10.9,26.1,7.9,5.6,7.7,16.9,6,5.4,9.1,21.1,6.8,5.5,nd,,,,,
Unnamed: 47,,,1986-T3,11.1,26.2,8.2,5.6,7.7,16.3,6.1,5.3,9.1,20.9,7,5.4,nd,,,,,
Unnamed: 48,,,1986-T4,11.2,26,8.4,5.8,7.6,15.8,6.1,5.3,9.2,20.5,7.1,5.5,nd,,,,,
Unnamed: 49,,,1987-T1,11.4,25.8,8.7,6.2,7.6,15.5,6.2,5.4,9.3,20.2,7.3,5.7,nd,,,,,
Unnamed: 50,,,1987-T2,11.5,25.5,8.9,6.4,7.6,15.3,6.2,5.4,9.3,20,7.4,5.8,nd,,,,,
Unnamed: 51,,,1987-T3,11.3,25,8.8,6.6,7.5,15.1,6.1,5.4,9.2,19.7,7.3,5.9,nd,,,,,
Unnamed: 52,,,1987-T4,11.3,24.7,8.9,6.7,7.4,15.2,6.1,5.4,9.1,19.6,7.3,5.9,nd,,,,,
Unnamed: 53,,,1988-T1,11.2,24.5,8.9,6.6,7.4,15.1,6.1,5.4,9,19.4,7.3,5.9,nd,,,,,
Unnamed: 54,,,1988-T2,11,24.1,8.8,6.5,7.2,14.6,6,5.2,8.9,19,7.2,5.8,nd,,,,,
Unnamed: 55,,,1988-T3,11.1,23.9,9.1,6.4,7.1,14,6,5.1,8.9,18.5,7.3,5.7,nd,,,,,
Unnamed: 56,,,1988-T4,11,23.1,9.1,6.4,6.8,13.2,5.8,5,8.7,17.7,7.3,5.6,nd,,,,,
Unnamed: 57,,,1989-T1,10.8,22.5,9.1,6.4,6.6,12.5,5.6,5,8.4,17,7.1,5.6,nd,,,,,
Unnamed: 58,,,1989-T2,10.6,22.1,8.9,6.3,6.4,12.2,5.5,4.8,8.3,16.7,7,5.4,nd,,,,,
Unnamed: 59,,,1989-T3,10.4,21.5,8.8,6.2,6.3,12.2,5.5,4.6,8.1,16.4,6.9,5.3,nd,,,,,
Unnamed: 60,,,1989-T4,10.3,21.6,8.7,6.1,6.3,12.5,5.4,4.5,8.1,16.7,6.9,5.2,nd,,,,,
Unnamed: 61,,,1990-T1,10.3,21.6,8.6,6.1,6.3,12.9,5.4,4.4,8.1,16.9,6.9,5.1,nd,,,,,
