Évolution du produit intérieur brut et de ses composantes,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
par rapport au trimestre précédent en volume en %,,,,,,,,,,,,
Trimestre,Produit intérieur brut (PIB),Importations,Dépense de consommation des ménages,Dépense de consommation des APU1,Formation brute de capital fixe,dont : ,,,Exportations,Contributions :,,
,,,,,,Entreprises non financières,ménages,APU1,,Demande intérieure finale hors stocks,Variations de stocks,Commerce extérieur
2014-T1,-0.09795005,0.89094537,-0.2942984,0.257458625212803,-1.43386804,-1.73173532,-2.2159626,-1.60724644,0.27535147,-0.38274028,0.47653335,-0.19174311
2013-T4,0.72240319,1.16091598,0.52348861,0.330411894828209,1.17625442,1.81020673,0.8948915,-0.64227319,1.71339354,0.62192831,-0.05661357,0.15708845
2013-T3,-0.01764877,0.69273129,0.11288402,0.28290826892432,0.56518555,1.2914287,0.65465199,-1.0541292,-0.21744218,0.25911525,0.01186349,-0.28862751
2013-T2,0.87621164,2.25994055,0.32252523,0.603128641548079,0.65707401,0.89958358,1.50316172,0.29712397,2.4114483,0.46506112,0.38620323,0.02494729
2013-T1,0.07490978,0.77702555,0.01796673,0.478282158088583,-0.86311612,-1.07797579,-0.82690906,1.13951667,0.2863922,-0.0564599,0.28652726,-0.15515758
2012-T4,0.00813596,-0.89211703,0.25297908,0.383237286566041,-0.54847108,-0.59251323,-0.62554873,0.69874518,0.20170708,0.1111514,-0.44405616,0.34104071
2012-T3,0.22484907,0.7677273,0.11313233,0.284316176733213,0.40368349,0.70315968,-0.19515588,0.7700965,0.30985742,0.2189426,0.15151873,-0.14561225
2012-T2,-0.43311988,0.77168505,-0.15751825,0.467943703214591,-0.83499799,-0.98144211,-2.23438402,0.59480868,0.3853287,-0.14794253,-0.16313251,-0.12204484
2012-T1,0.03038458,0.48696902,0.14303681,0.474490715702181,-0.87559459,-2.16162109,-0.07082892,0.09106553,0.34842164,-0.00182149,0.05207929,-0.01987322
2011-T4,0.3063145,-0.87955329,-0.21240866,0.267524673728348,1.15682494,1.53036773,0.11385009,0.64224181,1.51629755,0.20372507,-0.59860123,0.70119067
2011-T3,0.35022461,0.53874901,0.03572726,0.630829901482843,0.50915973,0.68683544,0.26277891,-0.72665596,1.15848646,0.28171273,-0.10508269,0.17359456
2011-T2,-0.00498348,-1.49669484,-1.35708849,0.206335897342425,0.38047887,0.79403433,-0.11596987,-0.89507779,0.89456107,-0.58710175,-0.12360676,0.70572504
2011-T1,1.30048159,4.00148059,0.70433319,0.540251286487115,0.07434769,1.23328676,0.33392975,-3.60059489,2.30096977,0.52679433,1.30750552,-0.53381826
2010-T4,0.6180199,0.80835087,0.82869854,0.199049556729114,0.45451687,1.3772118,0.24806614,-1.79693371,1.66190016,0.59767167,-0.20889395,0.22924217
2010-T3,0.6588205,3.14790458,0.75273068,0.407094656882623,1.56786129,2.18620062,1.92650356,-0.09221927,1.16759435,0.85041881,0.36302395,-0.55462226
2010-T2,0.50568885,3.90857298,0.2644824,0.132924712919547,0.84174566,1.47022597,0.83856475,-0.18082984,3.26434199,0.37663454,0.30660495,-0.17755064
2010-T1,0.23382495,0.84191253,0.21359198,-0.0420751151529508,0.39346218,0.99288142,0.36987816,-0.40952179,3.39719716,0.21547336,-0.66462591,0.6829775
2009-T4,0.81147765,4.23329979,0.838402,0.51044634377968,0.57974333,0.80537995,0.1553143,1.25793251,1.05473007,0.73365531,0.96322384,-0.88540149
2009-T3,0.16832593,-0.68275034,0.02746953,0.546806812332612,-0.6142416,-0.65138074,-1.3301789,0.83226985,0.51558844,0.0474406,-0.20772584,0.32861117
2009-T2,0.17328116,-1.71645708,0.59342321,0.908584505133847,-2.51795598,-3.53912445,-3.14386098,0.68965861,-0.15962305,0.01694569,-0.28811732,0.44445279
2009-T1,-1.9604224,-5.94608928,-0.24448216,0.802051795700631,-4.46856156,-6.75684458,-5.93099442,2.74643238,-6.54982123,-0.92382591,-0.94258212,-0.09401437
2008-T4,-1.21471289,-3.15321841,-0.30678818,0.763831544178362,-2.79393303,-4.20702708,-3.92819723,2.21965688,-3.95152997,-0.60338509,-0.41267415,-0.19865365
2008-T3,-0.23384926,0.38432565,0.0980976,0.612345375099999,-0.82309535,-0.39156533,-2.57359464,0.00134154,-1.50356905,0.00759099,0.31049354,-0.55193379
2008-T2,-0.67949559,-1.00085459,-0.06764161,0.154092702169617,-1.21748289,-1.36133316,-1.71634672,-0.94396983,-2.57992279,-0.28725579,0.0774136,-0.4696534
2008-T1,0.85720418,1.35517604,-0.29741332,-0.016177116313465,2.13590983,3.03679654,0.80232324,1.15367324,3.73453849,0.30908721,-0.13434546,0.68246243
2007-T4,0.05189399,-0.31280684,0.31855375,0.133446467139775,0.26714952,0.66775417,-0.62413756,0.00348145,-0.38403434,0.25271796,-0.1829885,-0.01783547
2007-T3,0.28417224,1.48534566,0.7383476,0.379403794037936,0.91967792,2.06660735,-0.43471376,-0.06990368,0.53097721,0.68804232,-0.11631837,-0.28755172
2007-T2,0.64944217,2.3444836,1.01966584,0.566881063992142,1.02409333,1.79462898,0.79714506,-0.02240593,1.50902438,0.91332134,-0.0131278,-0.25075138
2007-T1,1.06587263,0.59835973,0.83710319,0.618178684196091,2.05197148,3.25995405,1.49829942,0.99727164,0.16305571,1.07044338,0.13101038,-0.13558113
2006-T4,0.54273081,2.45459137,0.30183287,0.535631296621575,1.42506417,2.48823355,0.22305974,0.93900832,2.76969231,0.61984499,-0.16786734,0.09075316
2006-T3,0.0996626,-0.31683294,0.31115556,0.00708974035794618,0.59396031,0.76857593,0.79493068,-0.2572508,-2.27973069,0.31446757,0.3591226,-0.57392758
2006-T2,1.21491918,1.9868195,0.91139592,0.344642236064119,2.20393981,2.85905572,1.69596881,0.80733496,1.54028082,1.04309778,0.2867773,-0.1149559
2006-T1,0.83573509,0.77663945,0.92420657,0.637996595230139,1.04923406,0.61314309,2.22546066,-0.51240407,1.93339482,0.86338991,-0.35522183,0.32756701
2005-T4,0.69835444,3.01071312,0.95123461,0.0883793144631495,0.53204505,0.31805248,1.56424569,-0.96631245,2.4419915,0.6367822,0.19527279,-0.13370054
2005-T3,0.7587199,2.11840326,0.48091163,0.405314658480438,1.62690618,1.2444566,2.36097373,1.46062559,2.18629538,0.69285893,0.02859927,0.03726169
2005-T2,0.26132726,0.694704,0.41263774,0.515886408562749,0.52237489,0.11463304,1.46197728,0.67360155,0.80667782,0.44916671,-0.22464353,0.03680409
2005-T1,0.25755518,1.28943955,0.50181749,0.424467398321493,0.46282488,0.70560155,0.46697714,0.65201358,-0.35026877,0.46113386,0.23983945,-0.44341812
