Trimestre,Produit intérieur brut (PIB)
1959-T1,0.19994332
1958-T4,0.33861934
1958-T3,-0.18829116
1958-T2,0.38859442
1958-T1,1.28746517
1957-T4,0.28699788
1957-T3,1.66831503
1957-T2,0.69087654
1957-T1,1.90142024
1956-T4,1.50751072
1956-T3,1.23627636
1956-T2,1.7197165
1956-T1,0.76203728
1955-T4,1.10614067
1955-T3,1.48768847
1955-T2,1.45887169
1955-T1,1.33470279
1954-T4,0.76640887
1954-T3,1.59023597
1954-T2,1.78902894
1954-T1,1.50795449
1953-T4,1.59959834
1953-T3,0.47055694
1953-T2,1.6156744
1953-T1,1.09478037
1952-T4,-0.21570734
1952-T3,0.97573725
1952-T2,-0.53331143
1952-T1,1.73883225
1951-T4,1.00744127
1951-T3,1.4366164
1951-T2,0.72453766
1951-T1,0.04741891
1950-T4,2.39227456
1950-T3,2.42442514
1950-T2,2.52542624
1950-T1,2.74832351
1949-T4,1.39715917
1949-T3,1.49784962
1949-T2,0.90174309
