Date,Indice
1995-05,75.18
1995-04,75.07
1995-03,74.98
1995-02,74.75
1995-01,74.52
1994-12,74.33
1994-11,74.35
1994-10,74.34
1994-09,74.18
1994-08,73.95
1994-07,73.96
1994-06,73.97
1994-05,74.0
1994-04,73.84
1994-03,73.64
1994-02,73.47
1994-01,73.26
1993-12,73.17
1993-11,73.2
1993-10,73.13
1993-09,73.0
1993-08,72.77
1993-07,72.77
1993-06,72.71
1993-05,72.75
1993-04,72.65
1993-03,72.56
1993-02,72.19
1993-01,71.94
1992-12,71.66
1992-11,71.7
1992-10,71.63
1992-09,71.43
1992-08,71.23
1992-07,71.27
1992-06,71.31
1992-05,71.35
1992-04,71.12
1992-03,70.97
1992-02,70.74
1992-01,70.44
1991-12,70.32
1991-11,70.55
1991-10,70.28
1991-09,69.92
1991-08,69.81
1991-07,69.73
1991-06,69.55
1991-05,69.38
1991-04,69.16
1991-03,68.95
1991-02,68.82
1991-01,68.64
1990-12,68.26
1990-11,68.31
1990-10,68.42
1990-09,68.12
1990-08,67.64
1990-07,67.2
1990-06,67.18
1990-05,67.19
1990-04,67.09
1990-03,66.72
1990-02,66.56
1990-01,66.42
