Date,Close,Article Count
2000-03-01,6426.259765625,6
2000-06-01,6625.419921875,2
2000-09-01,5928.080078125,2
2001-03-01,5454.18994140625,4
2001-06-01,4689.33984375,2
2001-09-01,4476.06005859375,9
2001-12-01,4462.990234375,1
2002-03-01,4274.64013671875,5
2002-06-01,3366.2099609375,2
2003-03-01,2991.75,4
2003-06-01,3311.419921875,4
2003-09-01,3424.7900390625,2
2004-03-01,3669.6298828125,4
2004-06-01,3594.280029296875,3
2004-09-01,3753.75,8
2004-12-01,4027.159912109375,1
2005-03-01,4120.72998046875,38
2005-06-01,4399.35986328125,59
2005-09-01,4567.41015625,36
2006-03-01,4930.18017578125,10
2006-06-01,5165.0400390625,6
2006-09-01,5327.64013671875,5
2007-03-01,6104.0,4
2007-06-01,5662.7001953125,14
2007-09-01,5670.56982421875,13
2007-12-01,4790.66015625,1
2008-03-01,5014.27978515625,54
2008-06-01,4482.60009765625,34
2008-09-01,3262.679931640625,123
2008-12-01,2702.47998046875,31
2009-03-01,3277.64990234375,35
2009-06-01,3653.5400390625,18
2009-09-01,3680.14990234375,24
2009-12-01,3708.800048828125,7
2010-03-01,3507.56005859375,39
2010-06-01,3490.7900390625,25
2010-09-01,3610.43994140625,13
2010-12-01,4110.35009765625,5
2011-03-01,4006.93994140625,14
2011-06-01,3256.760009765625,18
2011-09-01,3154.6201171875,17
2011-12-01,3452.449951171875,2
2012-03-01,3017.010009765625,9
2012-06-01,3413.070068359375,12
2012-09-01,3557.280029296875,2
2013-03-01,3948.590087890625,2
2013-06-01,3933.780029296875,3
2013-09-01,4295.2099609375,2
2013-12-01,4408.080078125,1
2014-03-01,4519.56982421875,1
2014-09-01,4390.18017578125,2
2015-03-01,5007.89013671875,3
2015-06-01,4652.9501953125,2
2015-09-01,4957.60009765625,4
2016-03-01,4505.6201171875,1
2017-03-01,5283.6298828125,4
2017-06-01,5085.58984375,1
2017-09-01,5372.7900390625,1
2018-03-01,5398.39990234375,2
2018-09-01,5003.919921875,1
2018-12-01,5240.52978515625,3
2019-03-01,5207.6298828125,3
2019-06-01,5480.47998046875,7
2019-12-01,5309.89990234375,2
2020-03-01,4695.43994140625,1
2020-09-01,5518.5498046875,2
2020-12-01,5703.22021484375,1
2021-03-01,6447.169921875,1
2021-12-01,6658.830078125,1
2023-03-01,7098.7001953125,1
2024-06-01,7630.9501953125,2
2024-09-01,7235.10986328125,1
