Date,cac40,bce,confiance,ipc,pib,chomage 
2014-09-01,0.21,0.15,87.0,99.92,0.60494013,10.3
2014-12-01,12.79,0.05,91.0,99.86,-0.2001512,10.5
2015-03-01,1.14,0.05,95.0,100.17,0.56770633,10.3
2015-06-01,-7.09,0.05,95.0,100.44,0.04906106,10.5
2015-09-01,6.55,0.05,99.0,99.95,0.2665857,10.4
2015-12-01,-12.18,0.05,98.0,100.04,0.22524693,10.2
2016-03-01,3.49,0.05,96.0,100.02,0.40137226,10.2
2016-06-01,-1.5,0.0,97.0,100.63,-0.24580665,10.0
2016-09-01,3.16,0.0,98.0,100.34,0.12138578,9.9
2016-12-01,6.12,0.0,101.0,100.65,0.5177527,10.0
2017-03-01,8.75,0.0,102.0,101.17,0.68636549,9.6
2017-06-01,-3.75,0.0,109.0,101.32,0.89506605,9.5
2017-09-01,5.65,0.0,102.0,101.33,0.7448311,9.5
2017-12-01,-0.97,0.0,107.0,101.85,0.61699642,9.0
2018-03-01,1.46,0.0,102.0,102.75,-0.08271738,9.3
2018-06-01,0.16,0.0,97.0,103.37,0.21408439,9.1
2018-09-01,-7.45,0.0,94.0,103.56,0.49241644,8.9
2018-12-01,4.73,0.0,89.0,103.47,0.79050692,8.8
2019-03-01,-0.63,0.0,98.0,103.89,0.84011783,8.8
2019-06-01,5.24,0.0,101.0,104.58,0.59374522,8.4
2019-09-01,7.75,0.0,104.0,104.5,0.03117833,8.3
2019-12-01,-10.08,0.0,102.0,104.98,-0.52086962,8.2
2020-03-01,-11.57,0.0,103.0,104.59,-5.09952725,7.9
2020-06-01,5.36,0.0,95.0,104.79,-12.30435646,7.2
2020-09-01,11.55,0.0,95.0,104.55,15.62258626,9.0
2020-12-01,3.35,0.0,96.0,104.96,-0.10508453,8.1
2021-03-01,13.04,0.0,96.0,105.75,0.37479671,8.2
2021-06-01,3.61,0.0,105.0,106.34,1.28812198,7.9
2021-09-01,0.61,0.0,103.0,106.81,2.82052049,7.9
2021-12-01,-0.93,0.0,99.0,107.85,0.58874236,7.4
2022-03-01,-2.85,0.0,89.0,110.49,-0.15107659,7.4
2022-06-01,-5.31,0.0,82.0,112.55,0.46805056,7.4
2022-09-01,10.02,0.5,80.0,112.74,0.46348654,7.2
2022-12-01,7.86,2.0,82.0,114.16,0.09127002,7.1
2023-03-01,-2.33,3.0,81.0,116.79,0.05363757,7.1
2023-06-01,3.07,3.75,86.0,117.65,0.67857534,7.2
2023-09-01,-0.08,4.25,84.0,118.26,0.05017186,7.4
2023-12-01,8.43,4.5,89.0,118.39,0.44721837,7.5
2024-03-01,0.83,4.5,91.0,119.47,0.20867058,7.5
2024-06-01,-4.53,4.5,90.0,120.2,0.18435558,7.3
2024-09-01,-5.19,4.25,95.0,119.56,0.38673043,7.4
