idBank,Last update,Period,Date,Value
1587668,27/11/2024 08:45,,2024-11,90
1587668,27/11/2024 08:45,,2024-10,93
1587668,27/11/2024 08:45,,2024-09,95
1587668,27/11/2024 08:45,,2024-08,92
1587668,27/11/2024 08:45,,2024-07,91
1587668,27/11/2024 08:45,,2024-06,90
1587668,27/11/2024 08:45,,2024-05,90
1587668,27/11/2024 08:45,,2024-04,90
1587668,27/11/2024 08:45,,2024-03,91
1587668,27/11/2024 08:45,,2024-02,90
1587668,27/11/2024 08:45,,2024-01,91
1587668,27/11/2024 08:45,,2023-12,89
1587668,27/11/2024 08:45,,2023-11,89
1587668,27/11/2024 08:45,,2023-10,85
1587668,27/11/2024 08:45,,2023-09,84
1587668,27/11/2024 08:45,,2023-08,85
1587668,27/11/2024 08:45,,2023-07,87
1587668,27/11/2024 08:45,,2023-06,86
1587668,27/11/2024 08:45,,2023-05,84
1587668,27/11/2024 08:45,,2023-04,83
1587668,27/11/2024 08:45,,2023-03,81
1587668,27/11/2024 08:45,,2023-02,82
1587668,27/11/2024 08:45,,2023-01,82
1587668,27/11/2024 08:45,,2022-12,82
1587668,27/11/2024 08:45,,2022-11,84
1587668,27/11/2024 08:45,,2022-10,83
1587668,27/11/2024 08:45,,2022-09,80
1587668,27/11/2024 08:45,,2022-08,83
1587668,27/11/2024 08:45,,2022-07,80
1587668,27/11/2024 08:45,,2022-06,82
1587668,27/11/2024 08:45,,2022-05,85
1587668,27/11/2024 08:45,,2022-04,87
1587668,27/11/2024 08:45,,2022-03,89
1587668,27/11/2024 08:45,,2022-02,97
1587668,27/11/2024 08:45,,2022-01,98
1587668,27/11/2024 08:45,,2021-12,99
1587668,27/11/2024 08:45,,2021-11,98
1587668,27/11/2024 08:45,,2021-10,100
1587668,27/11/2024 08:45,,2021-09,103
1587668,27/11/2024 08:45,,2021-08,99
1587668,27/11/2024 08:45,,2021-07,103
1587668,27/11/2024 08:45,,2021-06,105
1587668,27/11/2024 08:45,,2021-05,99
1587668,27/11/2024 08:45,,2021-04,97
1587668,27/11/2024 08:45,,2021-03,96
1587668,27/11/2024 08:45,,2021-02,93
1587668,27/11/2024 08:45,,2021-01,93
1587668,27/11/2024 08:45,,2020-12,96
1587668,27/11/2024 08:45,,2020-11,89
1587668,27/11/2024 08:45,,2020-10,94
1587668,27/11/2024 08:45,,2020-09,95
1587668,27/11/2024 08:45,,2020-08,94
1587668,27/11/2024 08:45,,2020-07,93
1587668,27/11/2024 08:45,,2020-06,95
1587668,27/11/2024 08:45,,2020-05,89
1587668,27/11/2024 08:45,,2020-04,91
1587668,27/11/2024 08:45,,2020-03,103
1587668,27/11/2024 08:45,,2020-02,105
1587668,27/11/2024 08:45,,2020-01,104
1587668,27/11/2024 08:45,,2019-12,102
1587668,27/11/2024 08:45,,2019-11,106
1587668,27/11/2024 08:45,,2019-10,105
1587668,27/11/2024 08:45,,2019-09,104
1587668,27/11/2024 08:45,,2019-08,103
1587668,27/11/2024 08:45,,2019-07,102
1587668,27/11/2024 08:45,,2019-06,101
1587668,27/11/2024 08:45,,2019-05,100
1587668,27/11/2024 08:45,,2019-04,99
1587668,27/11/2024 08:45,,2019-03,98
1587668,27/11/2024 08:45,,2019-02,97
1587668,27/11/2024 08:45,,2019-01,94
1587668,27/11/2024 08:45,,2018-12,89
1587668,27/11/2024 08:45,,2018-11,92
1587668,27/11/2024 08:45,,2018-10,96
1587668,27/11/2024 08:45,,2018-09,94
1587668,27/11/2024 08:45,,2018-08,97
1587668,27/11/2024 08:45,,2018-07,97
1587668,27/11/2024 08:45,,2018-06,97
1587668,27/11/2024 08:45,,2018-05,100
1587668,27/11/2024 08:45,,2018-04,102
1587668,27/11/2024 08:45,,2018-03,102
1587668,27/11/2024 08:45,,2018-02,101
1587668,27/11/2024 08:45,,2018-01,105
1587668,27/11/2024 08:45,,2017-12,107
1587668,27/11/2024 08:45,,2017-11,104
1587668,27/11/2024 08:45,,2017-10,100
1587668,27/11/2024 08:45,,2017-09,102
1587668,27/11/2024 08:45,,2017-08,103
1587668,27/11/2024 08:45,,2017-07,105
1587668,27/11/2024 08:45,,2017-06,109
1587668,27/11/2024 08:45,,2017-05,103
1587668,27/11/2024 08:45,,2017-04,101
1587668,27/11/2024 08:45,,2017-03,102
1587668,27/11/2024 08:45,,2017-02,102
1587668,27/11/2024 08:45,,2017-01,102
1587668,27/11/2024 08:45,,2016-12,101
1587668,27/11/2024 08:45,,2016-11,100
1587668,27/11/2024 08:45,,2016-10,99
1587668,27/11/2024 08:45,,2016-09,98
1587668,27/11/2024 08:45,,2016-08,97
1587668,27/11/2024 08:45,,2016-07,97
1587668,27/11/2024 08:45,,2016-06,97
1587668,27/11/2024 08:45,,2016-05,99
1587668,27/11/2024 08:45,,2016-04,95
1587668,27/11/2024 08:45,,2016-03,96
1587668,27/11/2024 08:45,,2016-02,97
1587668,27/11/2024 08:45,,2016-01,99
1587668,27/11/2024 08:45,,2015-12,98
1587668,27/11/2024 08:45,,2015-11,97
1587668,27/11/2024 08:45,,2015-10,97
1587668,27/11/2024 08:45,,2015-09,99
1587668,27/11/2024 08:45,,2015-08,95
1587668,27/11/2024 08:45,,2015-07,94
1587668,27/11/2024 08:45,,2015-06,95
1587668,27/11/2024 08:45,,2015-05,94
1587668,27/11/2024 08:45,,2015-04,96
1587668,27/11/2024 08:45,,2015-03,95
1587668,27/11/2024 08:45,,2015-02,93
1587668,27/11/2024 08:45,,2015-01,90
1587668,27/11/2024 08:45,,2014-12,91
1587668,27/11/2024 08:45,,2014-11,88
1587668,27/11/2024 08:45,,2014-10,87
1587668,27/11/2024 08:45,,2014-09,87
1587668,27/11/2024 08:45,,2014-08,87
1587668,27/11/2024 08:45,,2014-07,87
1587668,27/11/2024 08:45,,2014-06,86
1587668,27/11/2024 08:45,,2014-05,86
1587668,27/11/2024 08:45,,2014-04,86
1587668,27/11/2024 08:45,,2014-03,88
1587668,27/11/2024 08:45,,2014-02,86
1587668,27/11/2024 08:45,,2014-01,87
1587668,27/11/2024 08:45,,2013-12,86
1587668,27/11/2024 08:45,,2013-11,85
1587668,27/11/2024 08:45,,2013-10,88
